id,food_profile
AUS_DATA_10,"【农产品基本信息】
- 数据来源：Australia Primary Food
- 产品/样本名称：Oregano, dried
- 详细描述：Dried, and sometimes ground, leaves of Oreganum vulgare, used as a culinary herb.
- 分类归属：Herbs(dried) and spices (编号: 31302)
- 采样详情：The majority of nutrient data were borrowed from USDA SR28, 02027 - Spices, oregano, dried. Alcohol, vitamins (retinol, folic acid, B12, D), iodine, caffeine and cholesterol were imputed zero.
- 公共食物键码：F006281

【理化特性指标】
- 氮换算系数 (Nitrogen Factor)：6.25
- 脂肪换算系数 (Fat Factor)：0.8
- 比重 (Specific Gravity)：0.0
- 分析部位：100%
- 未分析部位(废弃率)：0%

【实验室污染物随机测定数据明细】
  - 铅 (Lead, Pb): 0.246 mg/kg
  - 镉 (Cadmium, Cd): 0.065 mg/kg
  - 综合农药残留 (Pesticide Residues): 0.66 mg/kg
  - 水分 (Moisture): 17.1 g/100g"
AUS_DATA_11,"【农产品基本信息】
- 数据来源：Australia Primary Food
- 产品/样本名称：Paprika, dry powder
- 详细描述：Dried and ground fruit of red capsicums (sweet red peppers).
- 分类归属：Herbs(dried) and spices (编号: 31302)
- 采样详情：The majority of nutrient data were borrowed from the USDA SR28, 02028 Spices, paprika. Iodine was borrowed from NZ FOODfiles 2014, P45 - Spice, paprika. Alcohol, vitamins (folic acid, D), caffeine and cholesterol were imputed zero.
- 公共食物键码：F006316

【理化特性指标】
- 氮换算系数 (Nitrogen Factor)：6.25
- 脂肪换算系数 (Fat Factor)：0.8
- 比重 (Specific Gravity)：0.0
- 分析部位：100%
- 未分析部位(废弃率)：0%

【实验室污染物随机测定数据明细】
  - 铅 (Lead, Pb): 0.307 mg/kg
  - 镉 (Cadmium, Cd): 0.199 mg/kg
  - 综合农药残留 (Pesticide Residues): 1.68 mg/kg
  - 水分 (Moisture): 22.3 g/100g"
AUS_DATA_12,"【农产品基本信息】
- 数据来源：Australia Primary Food
- 产品/样本名称：Pepper, black, ground
- 详细描述：Dried and ground unripe fruit of the pepper tree (Piper nigrum), used as a spice.
- 分类归属：Herbs(dried) and spices (编号: 31302)
- 采样详情：The majority of nutrient data were borrowed from USDA SR28, 02030 - Spices, pepper, black. Iodine was borrowed from NZ FOODfiles 2014, P7 - Spice, pepper, black. Alcohol, vitamins (B12, D folic acid), caffeine and cholesterol were imputed zero. Note low sum of proximates - data should be used with caution.
- 公共食物键码：F006618

【理化特性指标】
- 氮换算系数 (Nitrogen Factor)：6.25
- 脂肪换算系数 (Fat Factor)：0.96
- 比重 (Specific Gravity)：0.0
- 分析部位：100%
- 未分析部位(废弃率)：0%

【实验室污染物随机测定数据明细】
  - 铅 (Lead, Pb): 0.228 mg/kg
  - 镉 (Cadmium, Cd): 0.164 mg/kg
  - 综合农药残留 (Pesticide Residues): 0.13 mg/kg
  - 水分 (Moisture): 24.8 g/100g"
AUS_DATA_13,"【农产品基本信息】
- 数据来源：Australia Primary Food
- 产品/样本名称：Rosemary, dried
- 详细描述：Dried woody herb with fragrant needle-like green leaves on small stalks.
- 分类归属：Herbs(dried) and spices (编号: 31302)
- 采样详情：The majority of nutrient data were borrowed from the USDA SR28, 02036 - Spices, rosemary, dried. Iodine was borrowed from NZ FOODfiles 2014, P52 - Herb, rosemary, dried. Tryptophan was imputed from dried, ground thyme. Alcohol, vitamins (B12, D, folic acid, retinol), iodine, caffeine and cholesterol were imputed zero.
- 公共食物键码：F007715

【理化特性指标】
- 氮换算系数 (Nitrogen Factor)：6.25
- 脂肪换算系数 (Fat Factor)：0.8
- 比重 (Specific Gravity)：0.0
- 分析部位：100%
- 未分析部位(废弃率)：0%

【实验室污染物随机测定数据明细】
  - 铅 (Lead, Pb): 0.408 mg/kg
  - 镉 (Cadmium, Cd): 0.042 mg/kg
  - 综合农药残留 (Pesticide Residues): 1.07 mg/kg
  - 水分 (Moisture): 81.0 g/100g"
AUS_DATA_14,"【农产品基本信息】
- 数据来源：Australia Primary Food
- 产品/样本名称：Sage, dried
- 详细描述：Dry leaves of Salvia officinalis used as a herb.
- 分类归属：Herbs(dried) and spices (编号: 31302)
- 采样详情：The majority of nutrient data were borrowed from USDA SR28, 02038, Spices, sage, ground. Iodine was borrowed from NZ FOODfiles 2014, P54 - Herb, sage, ground. Tryptophan was imputed from dried oregano. Alcohol, vitamins (B12, folic acid, retinol, D), iodine, caffeine and cholesterol were imputed zero.
- 公共食物键码：F007726

【理化特性指标】
- 氮换算系数 (Nitrogen Factor)：6.25
- 脂肪换算系数 (Fat Factor)：0.8
- 比重 (Specific Gravity)：0.0
- 分析部位：100%
- 未分析部位(废弃率)：0%

【实验室污染物随机测定数据明细】
  - 铅 (Lead, Pb): 0.187 mg/kg
  - 镉 (Cadmium, Cd): 0.043 mg/kg
  - 综合农药残留 (Pesticide Residues): 1.02 mg/kg
  - 水分 (Moisture): 29.2 g/100g"
AUS_DATA_15,"【农产品基本信息】
- 数据来源：Australia Primary Food
- 产品/样本名称：Thyme, dried, ground
- 详细描述：Dried, and sometimes ground, leaves of Thymus vulgaris, used as a culinary herb.
- 分类归属：Herbs(dried) and spices (编号: 31302)
- 采样详情：The majority of nutrient data were borrowed from the USDA, record 02042 - Spices, thyme, dried. Iodine was borrowed from NZ FOODfiles 2014, P57 - Herb, thyme, dried, ground. Alcohol, vitamins (folic acid, B12, D) and caffeine were imputed zero.
- 公共食物键码：F009160

【理化特性指标】
- 氮换算系数 (Nitrogen Factor)：6.25
- 脂肪换算系数 (Fat Factor)：0.8
- 比重 (Specific Gravity)：0.0
- 分析部位：100%
- 未分析部位(废弃率)：0%

【实验室污染物随机测定数据明细】
  - 铅 (Lead, Pb): 0.225 mg/kg
  - 镉 (Cadmium, Cd): 0.134 mg/kg
  - 综合农药残留 (Pesticide Residues): 1.34 mg/kg
  - 水分 (Moisture): 30.6 g/100g"
AUS_DATA_16,"【农产品基本信息】
- 数据来源：Australia Primary Food
- 产品/样本名称：Turmeric, dried, ground
- 详细描述：Dried and ground rhizome of Curcuma domestica or C. longa, used as a spice.
- 分类归属：Herbs(dried) and spices (编号: 31302)
- 采样详情：The majority of nutrient data were borrowed from USDA SR28, 02043 - Spices, turmeric, ground. Iodine was borrowed from NZ FOODfiles 2014, P58 - Spice, turmeric, ground. Alcohol, vitamins (folic acid, B12, D), caffeine and cholesterol were imputed zero.
- 公共食物键码：F009335

【理化特性指标】
- 氮换算系数 (Nitrogen Factor)：6.25
- 脂肪换算系数 (Fat Factor)：0.96
- 比重 (Specific Gravity)：0.0
- 分析部位：100%
- 未分析部位(废弃率)：0%

【实验室污染物随机测定数据明细】
  - 铅 (Lead, Pb): 0.344 mg/kg
  - 镉 (Cadmium, Cd): 0.098 mg/kg
  - 综合农药残留 (Pesticide Residues): 1.67 mg/kg
  - 水分 (Moisture): 83.6 g/100g"
AUS_DATA_17,"【农产品基本信息】
- 数据来源：Australia Primary Food
- 产品/样本名称：Salt substitute, potassium chloride
- 详细描述：Product sold as a replacement for regular table salt, containing predominantly potassium chloride.
- 分类归属：Salt (编号: 31301)
- 采样详情：The majority of nutrient data were imputed from non-iodised table salt. Na and K were derived from 3 samples of salt substitutes (Cenovis, Co-Salt and Pressor K) purchased in Sydney in 1984. Ash and vitamin B6 were borrowed from USDA SR28, 02047 - Salt, table. Vitamins (folic acid, alpha-tocopherol, D, B12) and caffeine were imputed zero.
- 公共食物键码：F007870

【理化特性指标】
- 氮换算系数 (Nitrogen Factor)：6.25
- 脂肪换算系数 (Fat Factor)：0.96
- 比重 (Specific Gravity)：0.0
- 分析部位：100%
- 未分析部位(废弃率)：0%

【实验室污染物随机测定数据明细】
  - 铅 (Lead, Pb): 0.063 mg/kg
  - 镉 (Cadmium, Cd): 0.143 mg/kg
  - 综合农药残留 (Pesticide Residues): 1.34 mg/kg
  - 水分 (Moisture): 80.4 g/100g"
AUS_DATA_18,"【农产品基本信息】
- 数据来源：Australia Primary Food
- 产品/样本名称：Salt, table, iodised
- 详细描述：Fine granules of sodium chloride sold for direct addition to foods, to which iodine has been added in the form of potassium iodate or iodide. May contain free-flowing agents.
- 分类归属：Salt (编号: 31301)
- 采样详情：The majority of nutrient data were imputed from non-iodised table salt. Minerals (K, Na, P, Mn, Fe, Ca, Cl) were derived from 6 samples of iodised table salt purchased in QLD, VIC and WA in 2004. Ash and vitamin B6 were borrowed from USDA SR28, 02047 - Salt, table. Vitamins (folic acid, alpha-tocopherol, D, B12) and caffeine were imputed zero.
- 公共食物键码：F007878

【理化特性指标】
- 氮换算系数 (Nitrogen Factor)：6.25
- 脂肪换算系数 (Fat Factor)：0.96
- 比重 (Specific Gravity)：0.0
- 分析部位：100%
- 未分析部位(废弃率)：0%

【实验室污染物随机测定数据明细】
  - 铅 (Lead, Pb): 0.413 mg/kg
  - 镉 (Cadmium, Cd): 0.128 mg/kg
  - 综合农药残留 (Pesticide Residues): 0.5 mg/kg
  - 水分 (Moisture): 79.6 g/100g"
AUS_DATA_19,"【农产品基本信息】
- 数据来源：Australia Primary Food
- 产品/样本名称：Salt, table, non-iodised
- 详细描述：Fine granules of sodium chloride sold for direct addition to foods. May contain free-flowing agents and small amounts of other minerals such as potassium.
- 分类归属：Salt (编号: 31301)
- 采样详情：Na and K were derived from 3 samples of table salt (Crown, Pacific and Saxa) purchased in Sydney in 1983. Minerals (I, Se, Mo, Ni, Cr) were derived from 6 samples of table salt purchased in QLD, SA and TAS in 2004. Minerals (Ca, P, Fe) were imputed from iodised table salt. Cl was calculated from the molecular formula after being adjusted for other components. Proximates (moisture, ash) and vitamin B6 were borrowed from USDA SR28, 02047 - Salt, table. Vitamins (folic acid, alpha-tocopherol, D, B12) and caffeine were imputed zero. The remaining values were prepared for AUSNUT 1999.
- 公共食物键码：F007879

【理化特性指标】
- 氮换算系数 (Nitrogen Factor)：6.25
- 脂肪换算系数 (Fat Factor)：0.96
- 比重 (Specific Gravity)：0.0
- 分析部位：100%
- 未分析部位(废弃率)：0%

【实验室污染物随机测定数据明细】
  - 铅 (Lead, Pb): 0.059 mg/kg
  - 镉 (Cadmium, Cd): 0.196 mg/kg
  - 综合农药残留 (Pesticide Residues): 0.03 mg/kg
  - 水分 (Moisture): 71.9 g/100g"
AUS_DATA_20,"【农产品基本信息】
- 数据来源：Australia Primary Food
- 产品/样本名称：Stock, dry powder or cube
- 详细描述：Concentrated meat stock that is dried and supplied as a powder or compressed into a cube. Contains ingredients such as salt and flavours.
- 分类归属：Stock cubes and seasonings (编号: 31303)
- 采样详情：The majority of nutrient data were derived from a composite of 2 samples of stock cubes (chicken and beef) purchased in Adelaide in 1990. Total nitrogen was reduced by 10% to account for purine nitrogen. B6 and iodine were borrowed from NZ FOODfiles 2014, P16 - Stock, Oxo cubes. Alpha-tocopherol was borrowed from USDA SR28, 06076 - Soup, beef broth, cubed, dry. Tryptophan was imputed from various beef cuts. Proximates (alcohol, fibre), vitamins (B12, C, D, folic acid, retinol), caffeine and cholesterol were imputed zero.
- 公共食物键码：F008933

【理化特性指标】
- 氮换算系数 (Nitrogen Factor)：6.25
- 脂肪换算系数 (Fat Factor)：0.96
- 比重 (Specific Gravity)：0.0
- 分析部位：100%
- 未分析部位(废弃率)：0%

【实验室污染物随机测定数据明细】
  - 铅 (Lead, Pb): 0.025 mg/kg
  - 镉 (Cadmium, Cd): 0.092 mg/kg
  - 综合农药残留 (Pesticide Residues): 0.84 mg/kg
  - 水分 (Moisture): 73.5 g/100g"
AUS_DATA_21,"【农产品基本信息】
- 数据来源：Australia Primary Food
- 产品/样本名称：Taco seasoning mix, chilli-based
- 详细描述：Powdered product intended for addition to meat and other ingredients to prepare Mexican-style dishes such as taco filling. Typical ingredients include salt, sugar, maize starch, spices, chilli and citric acid.
- 分类归属：Stock cubes and seasonings (编号: 31303)
- 采样详情：The majority of nutrient data were derived from a composite of 8 samples of taco seasoning mix (4x Old El Paso, 3x Casa Fiesta, 1x Farmland) purchased in Adelaide in January 1996. Iodine was estimated based on product containing 30% non-iodised salt. Alcohol, vitamins (B12, C, D, folic acid, folate, retinol), caffeine and cholesterol were imputed zero. Note low sum of proximates - data should be used with caution.
- 公共食物键码：F009072

【理化特性指标】
- 氮换算系数 (Nitrogen Factor)：6.25
- 脂肪换算系数 (Fat Factor)：0.96
- 比重 (Specific Gravity)：0.0
- 分析部位：100%
- 未分析部位(废弃率)：0%

【实验室污染物随机测定数据明细】
  - 铅 (Lead, Pb): 0.299 mg/kg
  - 镉 (Cadmium, Cd): 0.168 mg/kg
  - 综合农药残留 (Pesticide Residues): 1.31 mg/kg
  - 水分 (Moisture): 32.9 g/100g"
AUS_DATA_22,"【农产品基本信息】
- 数据来源：Australia Primary Food
- 产品/样本名称：Baking powder, dry powder
- 详细描述：Fine white powder used to chemically leaven baked goods such as cakes. Composed of 50% cream of tartar, 25% baking soda, and 25% starch.
- 分类归属：Chemical raising agents and cooking ingredients (编号: 31501)
- 采样详情：These nutrient data were derived using a recipe approach. For further information refer to individual ingredients.
- 公共食物键码：F000247

【理化特性指标】
- 氮换算系数 (Nitrogen Factor)：0.0
- 脂肪换算系数 (Fat Factor)：0.0
- 比重 (Specific Gravity)：0.0
- 分析部位：100%
- 未分析部位(废弃率)：0%

【实验室污染物随机测定数据明细】
  - 铅 (Lead, Pb): 0.101 mg/kg
  - 镉 (Cadmium, Cd): 0.102 mg/kg
  - 综合农药残留 (Pesticide Residues): 1.03 mg/kg
  - 水分 (Moisture): 55.8 g/100g"
AUS_DATA_23,"【农产品基本信息】
- 数据来源：Australia Primary Food
- 产品/样本名称：Baking soda (bicarbonate), dry powder
- 详细描述：Fine white powder used to chemically leaven baked goods such as cakes.
- 分类归属：Chemical raising agents and cooking ingredients (编号: 31501)
- 采样详情：The majority of nutrient data were borrowed from USDA SR28, 18372 - Leavening agents, baking soda. Iodine was borrowed from NZ FOODfiles 2014 Version 01, P1 - Baking powder. Alcohol, vitamins (B12, D, folic acid, retinol), fatty acids, cholesterol, tryptophan and caffeine were imputed zero. Note low sum of proximates - data should be used with caution.
- 公共食物键码：F000248

【理化特性指标】
- 氮换算系数 (Nitrogen Factor)：6.25
- 脂肪换算系数 (Fat Factor)：0.8
- 比重 (Specific Gravity)：0.0
- 分析部位：100%
- 未分析部位(废弃率)：0%

【实验室污染物随机测定数据明细】
  - 铅 (Lead, Pb): 0.067 mg/kg
  - 镉 (Cadmium, Cd): 0.103 mg/kg
  - 综合农药残留 (Pesticide Residues): 0.9 mg/kg
  - 水分 (Moisture): 51.6 g/100g"
AUS_DATA_24,"【农产品基本信息】
- 数据来源：Australia Primary Food
- 产品/样本名称：Cream of tartar, dry powder
- 详细描述：Purified, crystallised potassium bitartrate, used as the acid component of some fast acting baking powder mixtures.
- 分类归属：Chemical raising agents and cooking ingredients (编号: 31501)
- 采样详情：The majority of nutrient data were borrowed from the USDA SR28, 18373 - Leavening agents, cream of tartar. Iodine, tryptophan and total trans fatty acids were borrowed from McCance and Widdowson's composition of foods integrated dataset 2015, no. 17-358 - Cream of tartar. Note low sum of proximates which is likely due to unanalysed derivatives of tartaric acid.
- 公共食物键码：F003250

【理化特性指标】
- 氮换算系数 (Nitrogen Factor)：6.25
- 脂肪换算系数 (Fat Factor)：0.8
- 比重 (Specific Gravity)：0.0
- 分析部位：100%
- 未分析部位(废弃率)：0%

【实验室污染物随机测定数据明细】
  - 铅 (Lead, Pb): 0.267 mg/kg
  - 镉 (Cadmium, Cd): 0.037 mg/kg
  - 综合农药残留 (Pesticide Residues): 1.98 mg/kg
  - 水分 (Moisture): 54.0 g/100g"
AUS_DATA_25,"【农产品基本信息】
- 数据来源：Australia Primary Food
- 产品/样本名称：Gelatine, all types
- 详细描述：Unflavoured light yellow granular proteinaceous powder. Used to sweeten and thicken soups, sauces and desserts.
- 分类归属：Gelatine (编号: 31502)
- 采样详情：The majority of nutrient data were derived from a composite sample of 6 purchases of Davis gelatine purchased in Adelaide in 1990. Alpha-tocopherol, folate and fatty acids were borrowed from USDA SR28, 19177 - Gelatins, dry powder, unsweetened. Proximates (alcohol, fibre), vitamins (B12, C, D, folic acid, retinol), caffeine and cholesterol were imputed zero.
- 公共食物键码：F004196

【理化特性指标】
- 氮换算系数 (Nitrogen Factor)：5.55
- 脂肪换算系数 (Fat Factor)：0.96
- 比重 (Specific Gravity)：0.0
- 分析部位：100%
- 未分析部位(废弃率)：0%

【实验室污染物随机测定数据明细】
  - 铅 (Lead, Pb): 0.357 mg/kg
  - 镉 (Cadmium, Cd): 0.03 mg/kg
  - 综合农药残留 (Pesticide Residues): 1.65 mg/kg
  - 水分 (Moisture): 66.4 g/100g"
